Stock Alt Year Catch ABC OFL SSB TotBiom
ai20 1 2021 1.656 51.1964 61.8014 89.8293 292.783
ai20 1 2022 50.7522 50.7522 61.2636 85.7245 308.525
ai20 1 2023 38.3104 38.3104 45.9834 70.3286 286.503
ai20 1 2024 30.8633 30.8633 37.2783 65.1036 285.662
ai20 1 2025 29.9784 29.9784 36.3393 65.7451 296.383
ai20 1 2026 32.5072 32.5072 39.4416 69.4949 309.821
ai20 1 2027 35.593 35.593 43.2197 73.4467 320.787
ai20 1 2028 37.9852 37.9852 46.1917 76.4826 327.337
ai20 1 2029 39.4544 39.4544 47.9612 78.3438 330.959
ai20 1 2030 40.2704 40.2704 48.9426 79.2514 330.935
ai20 1 2031 40.4928 40.4928 49.1945 79.4513 329.562
ai20 1 2032 40.3585 40.3585 49.0683 79.3627 328.122
ai20 1 2033 40.0896 40.0896 48.6467 78.7255 326.698
ai20 1 2034 39.6708 39.6708 48.1491 77.9101 326.616
ai20 2 2021 1.656 0.0511529 61.8014 89.8293 292.783
ai20 2 2022 50.7522 0.0505464 61.2636 85.7245 308.525
ai20 2 2023 38.3104 0.0376548 45.9834 70.3286 286.503
ai20 2 2024 30.8633 0.028469 37.2783 65.1036 285.662
ai20 2 2025 29.9784 0.0232305 36.3393 65.7451 296.383
ai20 2 2026 32.5072 0.0215977 39.4416 69.4949 309.821
ai20 2 2027 35.593 0.0270955 43.2197 73.4467 320.787
ai20 2 2028 37.9852 0.037692 46.1917 76.4826 327.337
ai20 2 2029 39.4544 0.0446352 47.9612 78.3438 330.959
ai20 2 2030 40.2704 0.0503032 48.9426 79.2514 330.935
ai20 2 2031 40.4928 0.0540905 49.1945 79.4513 329.562
ai20 2 2032 40.3585 0.0557747 49.0683 79.3627 328.122
ai20 2 2033 40.0896 0.0542631 48.6467 78.7255 326.698
ai20 2 2034 39.6708 0.0510744 48.1491 77.9101 326.616
ai20 3 2021 1.656 51.1964 61.8014 89.8293 292.783
ai20 3 2022 3.7962 50.7522 61.2636 89.4064 308.525
ai20 3 2023 3.76958 50.4836 60.9685 90.7287 328.97
ai20 3 2024 3.84684 51.741 62.5558 96.0232 354.516
ai20 3 2025 4.09786 55.3083 66.9261 103.086 381.509
ai20 3 2026 4.514 60.9409 73.742 112.309 408.278
ai20 3 2027 4.95828 66.8568 80.8758 122.08 432.916
ai20 3 2028 5.40109 72.6383 87.8313 131.151 453.37
ai20 3 2029 5.7683 77.4353 93.6 139.178 470.573
ai20 3 2030 6.06411 81.3037 98.2478 145.946 483.156
