Alt Stock Year ABC OFL Catch SSB F Total_Biom SPR_Implied
7 bsai_akp 2023 38122.2 38122.2 31696.4 137435 0.140028 442974 0.4
6 bsai_akp 2027 37670.5 37670.5 37670.5 139507 0.170414 404528 0.35
3 bsai_akp 2023 12107.3 40951.3 18054 149724 0.0722739 462892 0.575221
7 bsai_akp 2024 38189.3 38189.3 38189.3 138641 0.170414 441507 0.35
6 bsai_akp 2028 37445.7 37445.7 37445.7 138399 0.170414 393331 0.35
3 bsai_akp 2024 12609.4 42695.3 18054 158087 0.0693007 473125 0.58604
7 bsai_akp 2025 38215.1 38215.1 38215.1 140433 0.170414 433003 0.35
6 bsai_akp 2029 36662.1 36662.1 36662.1 134801 0.170414 381292 0.35
4 bsai_akp 2021 15969.2 39688.1 15862 143363 0.0651529 429307 0.601753
3 bsai_akp 2025 13341.5 45182.4 13341.5 169978 0.048 481959 0.675521
7 bsai_akp 2026 38497.5 38497.5 38497.5 142192 0.170414 421653 0.35
4 bsai_akp 2022 15841.4 39425.6 11253 143424 0.0462319 443769 0.684042
3 bsai_akp 2026 14339 48533.7 14339 183660 0.048 491672 0.675521
7 bsai_akp 2027 38575.8 38575.8 38575.8 142727 0.170414 410431 0.35
4 bsai_akp 2023 16432 40951.3 18054 149724 0.0722739 462892 0.575221
3 bsai_akp 2027 15251.8 51576.7 15251.8 195709 0.048 499843 0.675521
7 bsai_akp 2028 38179.4 38179.4 38179.4 140980 0.170414 398018 0.35
4 bsai_akp 2024 17116.2 42695.3 18054 158087 0.0693007 473125 0.58604
3 bsai_akp 2028 15978.1 53976.8 15978.1 204687 0.048 504922 0.675521
7 bsai_akp 2029 37248.5 37248.5 37248.5 136838 0.170414 384979 0.35
5 bsai_akp 2021 0 39688.1 15862 143363 0.0651529 429307 0.601753
4 bsai_akp 2025 18110.4 45182.4 18110.4 169370 0.0656059 481959 0.6
3 bsai_akp 2029 16470.3 55586 16470.3 210012 0.048 507180 0.675521
1 bsai_akp 2021 33028.7 39688.1 15862 143363 0.0651529 429307 0.601753
5 bsai_akp 2022 0 39425.6 11253 143424 0.0462319 443769 0.684042
4 bsai_akp 2026 19212.5 47911.7 19212.5 180611 0.0656059 487185 0.6
1 bsai_akp 2022 32797 39425.6 11253 143424 0.0462319 443769 0.684042
5 bsai_akp 2023 0 40951.3 18054 149724 0.0722739 462892 0.575221
4 bsai_akp 2027 20188.5 50309.7 20188.5 190120 0.0656059 490966 0.6
1 bsai_akp 2023 34052.8 40951.3 18054 149724 0.0722739 462892 0.575221
5 bsai_akp 2024 0 42695.3 18054 158087 0.0693007 473125 0.58604
4 bsai_akp 2028 20908.4 52059.5 20908.4 196557 0.0656059 491832 0.6
1 bsai_akp 2024 35493.7 42695.3 18054 158087 0.0693007 473125 0.58604
5 bsai_akp 2025 0 45182.4 0 171647 0 481959 1
4 bsai_akp 2029 21317.3 53036.3 21317.3 199460 0.0656059 490145 0.6
2 bsai_akp 2021 33028.7 39688.1 15862 143363 0.0651529 429307 0.601753
1 bsai_akp 2025 37559.7 45182.4 37559.7 166827 0.140028 481959 0.4
5 bsai_akp 2026 0 50277.2 0 192270 0 504223 1
2 bsai_akp 2022 32797 39425.6 11253 143424 0.0462319 443769 0.684042
1 bsai_akp 2026 37727.9 45382.4 37727.9 168338 0.140028 468882 0.4
5 bsai_akp 2027 0 55225 0 211928 0 525311 1
2 bsai_akp 2023 34052.8 40951.3 18054 149724 0.0722739 462892 0.575221
1 bsai_akp 2027 37700.7 45343.3 37700.7 168434 0.140028 455985 0.4
5 bsai_akp 2028 0 59644.1 0 228908 0 543436 1
1 bsai_akp 2028 37257.8 44802.2 37257.8 166108 0.140028 441953 0.4
2 bsai_akp 2024 35493.7 42695.3 18054 158087 0.0693007 473125 0.58604
5 bsai_akp 2029 0 63318.3 0 242275 0 558569 1
1 bsai_akp 2029 36352.1 43705.4 36352.1 161264 0.140028 427339 0.4
2 bsai_akp 2025 37559.7 45182.4 37559.7 166827 0.140028 481959 0.4
2 bsai_akp 2026 37727.9 45382.4 37727.9 168338 0.140028 468882 0.4
2 bsai_akp 2027 37700.7 45343.3 37700.7 168434 0.140028 455985 0.4
2 bsai_akp 2028 37257.8 44802.2 37257.8 166108 0.140028 441953 0.4
2 bsai_akp 2029 36352.1 43705.4 36352.1 161264 0.140028 427339 0.4
6 bsai_akp 2030 35471.9 35471.9 35471.9 129731 0.170372 370362 0.350062
6 bsai_akp 2031 34043 34043 34043 124369 0.169738 360211 0.351021
6 bsai_akp 2032 32479.5 32479.5 32479.5 119632 0.167729 351934 0.354114
6 bsai_akp 2033 31063 31063 31063 115931 0.165217 345460 0.358047
7 bsai_akp 2030 35938.7 35938.7 35938.7 131319 0.170396 373239 0.350027
6 bsai_akp 2034 29919.8 29919.8 29919.8 113215 0.1629 339857 0.361712
3 bsai_akp 2030 16740.2 56457.9 16740.2 212311 0.048 508246 0.675521
7 bsai_akp 2031 34437.8 34437.8 34437.8 125589 0.169943 362436 0.35071
3 bsai_akp 2031 16846.1 56791.7 16846.1 212588 0.048 507655 0.675521
7 bsai_akp 2032 32820.8 32820.8 32820.8 120545 0.168144 353616 0.353473
3 bsai_akp 2032 16854.1 56808.3 16854.1 211869 0.048 506603 0.675521
7 bsai_akp 2033 31333.7 31333.7 31333.7 116592 0.165657 346685 0.357354
3 bsai_akp 2033 16810.8 56659.4 16810.8 210760 0.048 505108 0.675521
7 bsai_akp 2034 30122 30122 30122 113678 0.163279 340722 0.361109
4 bsai_akp 2030 21443.1 53319.7 21443.1 199563 0.0656059 487628 0.6
3 bsai_akp 2034 16742.7 56429.3 16742.7 209530 0.048 502612 0.675521
4 bsai_akp 2031 21372.6 53128.2 21372.6 197936 0.0656059 483881 0.6
4 bsai_akp 2032 21198.7 52690.2 21198.7 195613 0.0656059 480108 0.6
4 bsai_akp 2033 20984.3 52157.4 20984.3 193184 0.0656059 476318 0.6
5 bsai_akp 2030 0 66218.4 0 252304 0 572011 1
4 bsai_akp 2034 20762.5 51607.7 20762.5 190878 0.0656059 471911 0.6
1 bsai_akp 2030 35108 42205.4 35108 154914 0.140028 414010 0.4
5 bsai_akp 2031 0 68474.7 0 259728 0 583014 1
1 bsai_akp 2031 33738.7 40558.3 33738.7 148228 0.140028 401580 0.4
5 bsai_akp 2032 0 70266.9 0 265467 0 592627 1
1 bsai_akp 2032 32428 38984 32428 142114 0.140028 391068 0.4
5 bsai_akp 2033 0 71726.9 0 270102 0 600785 1
1 bsai_akp 2033 31264.4 37585 31264.4 136955 0.139974 382227 0.400102
5 bsai_akp 2034 0 72939.3 0 273938 0 606941 1
2 bsai_akp 2030 35108 42205.4 35108 154914 0.140028 414010 0.4
1 bsai_akp 2034 30251.3 36359.9 30251.3 132749 0.139748 374148 0.400534
2 bsai_akp 2031 33738.7 40558.3 33738.7 148228 0.140028 401580 0.4
2 bsai_akp 2032 32428 38984 32428 142114 0.140028 391068 0.4
2 bsai_akp 2033 31264.4 37585 31264.4 136955 0.139974 382227 0.400102
2 bsai_akp 2034 30251.3 36359.9 30251.3 132749 0.139748 374148 0.400534
6 bsai_akp 2021 39688.1 39688.1 15862 143363 0.0651529 429307 0.601753
6 bsai_akp 2022 39425.6 39425.6 39425.6 139656 0.170414 443769 0.35
6 bsai_akp 2023 37255.7 37255.7 37255.7 133480 0.170414 436843 0.35
6 bsai_akp 2024 36638.1 36638.1 36638.1 133043 0.170414 430476 0.35
7 bsai_akp 2021 39688.1 39688.1 15862 143363 0.0651529 429307 0.601753
6 bsai_akp 2025 36901.3 36901.3 36901.3 135693 0.170414 423944 0.35
3 bsai_akp 2021 11771.8 39688.1 15862 143363 0.0651529 429307 0.601753
7 bsai_akp 2022 39425.6 39425.6 32797 140568 0.140028 443769 0.4
6 bsai_akp 2026 37398.3 37398.3 37398.3 138246 0.170414 414298 0.35
3 bsai_akp 2022 11674.8 39425.6 11253 143424 0.0462319 443769 0.684042
