
SB0 SB40 SB35 MeanRec HarMeanRec Bnow
504652 201861 176628 3148.41 369.266 321470 
CV Recruit
4.00652 
Alternative 1 Alternative  Stock: goa_wp
Catch goa_wp
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2023  0 225099 245148 145215 145215 145215 145215 1.74623e-09 
2024  0 225099 245148 231996 232069 232543 234556 2067.52 
2025  0 225099 245148 152710 153591 157687 174620 17553.2 
2026  0 225099 245148 79160.4 85484.6 113803 238870 118819 
2027  0 225099 245148 35106.5 51314.3 122764 419503 270128 
2028  0 225099 245148 0 44878.3 135561 587958 301806 
2029  0 225099 245148 0 47726.3 161526 665258 365724 
2030  0 225099 245148 0 55694.5 182755 862889 363697 
2031  0 225099 245148 0 64244.8 194145 801371 411487 
2032  0 225099 245148 0 73384.8 188578 737869 343838 
2033  0 225099 245148 0 77392.7 198780 819599 361489 
2034  0 225099 245148 0 79027.1 201241 810829 355919 
2035  0 225099 245148 0 77229.2 196063 794930 342168 
2036  0 225099 245148 0 71899.1 194826 799427 351715 

Spawning_Biomass goa_wp
Year SSB100 SSBabc SSBofl LowCI_SSB Median_SSB Mean_SSB UpperCI_SSB Stdev_SSB 
2023 504652 201861 176628 293675 293675 293675 293675 2.32831e-10 
2024 504652 201861 176628 274141 274141 274141 274144 2.47554 
2025 504652 201861 176628 226024 226166 227091 231013 4030.12 
2026 504652 201861 176628 173647 174841 180024 200777 22052.4 
2027 504652 201861 176628 121638 128355 151890 245126 99477.2 
2028 504652 201861 176628 93790.1 109335 156257 350680 168164 
2029 504652 201861 176628 77581.6 107586 174975 466862 218713 
2030 504652 201861 176628 69429 114657 194454 531486 244980 
2031 504652 201861 176628 63937 120824 211764 650260 270762 
2032 504652 201861 176628 61161.4 123439 215293 669183 278679 
2033 504652 201861 176628 60019.7 127867 218138 661852 273032 
2034 504652 201861 176628 59884.2 131111 219649 670792 260137 
2035 504652 201861 176628 61690.8 132034 222020 697642 260403 
2036 504652 201861 176628 61227.8 129175 220012 650892 255586 

Fishing_mortalitygoa_wp
Year F0 Fabc Fofl LowCI_F Median_F Mean_F UpperCI_F Stdev_F 
2023  0 0.259937 0.3074 0.167347 0.167347 0.167347 0.167347 1.38778e-15 
2024  0 0.259937 0.3074 0.259937 0.259937 0.259937 0.259937 5.21805e-15 
2025  0 0.259937 0.3074 0.259937 0.259937 0.259937 0.259937 5.21805e-15 
2026  0 0.259937 0.3074 0.221692 0.223311 0.227366 0.258468 0.00969669 
2027  0 0.259937 0.3074 0.151195 0.1603 0.174712 0.259937 0.0325303 
2028  0 0.259937 0.3074 0 0.13452 0.122305 0.259937 0.0924992 
2029  0 0.259937 0.3074 0 0.132148 0.11096 0.259937 0.106863 
2030  0 0.259937 0.3074 0 0.141733 0.122395 0.259937 0.109794 
2031  0 0.259937 0.3074 0 0.150091 0.130321 0.259937 0.109717 
2032  0 0.259937 0.3074 0 0.153634 0.135792 0.259937 0.10823 
2033  0 0.259937 0.3074 0 0.159637 0.140898 0.259937 0.107621 
2034  0 0.259937 0.3074 0 0.164034 0.142759 0.259937 0.10778 
