Stock Alt Year Catch ABC OFL SSB TotBiom
Model_1_goa_pop_2023 1 2021 31.454 39.7189 47.4663 228.029 649.838
Model_1_goa_pop_2023 1 2022 29.89 38.3535 45.8348 221.381 628.217
Model_1_goa_pop_2023 1 2023 0 37.0013 44.2189 219.342 609.306
Model_1_goa_pop_2023 1 2024 0 37.782 45.1503 225.302 621.924
Model_1_goa_pop_2023 1 2025 0 38.4985 46.0052 230.214 634.941
Model_1_goa_pop_2023 1 2026 0 39.1584 46.7933 234.238 648.255
Model_1_goa_pop_2023 1 2027 0 39.8107 47.5734 237.869 661.721
Model_1_goa_pop_2023 1 2028 0 40.4578 48.348 241.691 675.189
Model_1_goa_pop_2023 1 2029 0 41.1298 49.153 246.007 688.365
Model_1_goa_pop_2023 1 2030 0 41.8088 49.9666 250.886 701.225
Model_1_goa_pop_2023 1 2031 0 42.5068 50.8026 256.153 713.614
Model_1_goa_pop_2023 1 2032 0 43.2099 51.6443 261.609 725.627
Model_1_goa_pop_2023 1 2033 0 43.9338 52.5103 267.018 736.981
Model_1_goa_pop_2023 1 2034 44.6533 44.6533 53.3704 265.488 747.654
Model_1_goa_pop_2023 2 2021 31.454 39.7189 47.4663 228.029 649.838
Model_1_goa_pop_2023 2 2022 29.89 38.3535 45.8348 221.381 628.217
Model_1_goa_pop_2023 2 2023 0 37.0013 44.2189 219.342 609.306
Model_1_goa_pop_2023 2 2024 0 37.782 45.1503 225.302 621.924
Model_1_goa_pop_2023 2 2025 0 38.4985 46.0052 230.214 634.941
Model_1_goa_pop_2023 2 2026 0 39.1584 46.7933 234.238 648.255
Model_1_goa_pop_2023 2 2027 0 39.8107 47.5734 237.869 661.721
Model_1_goa_pop_2023 2 2028 0 40.4578 48.348 241.691 675.189
Model_1_goa_pop_2023 2 2029 0 41.1298 49.153 246.007 688.365
Model_1_goa_pop_2023 2 2030 0 41.8088 49.9666 250.886 701.225
Model_1_goa_pop_2023 2 2031 0 42.5068 50.8026 256.153 713.614
Model_1_goa_pop_2023 2 2032 0 43.2099 51.6443 261.609 725.627
Model_1_goa_pop_2023 2 2033 0 43.9338 52.5103 267.018 736.981
Model_1_goa_pop_2023 2 2034 44.6533 44.6533 53.3704 265.488 747.654
Model_1_goa_pop_2023 3 2021 31.454 39.7189 47.4663 228.029 649.838
Model_1_goa_pop_2023 3 2022 29.89 38.3535 45.8348 221.381 628.217
Model_1_goa_pop_2023 3 2023 0 37.0013 44.2189 219.342 609.306
Model_1_goa_pop_2023 3 2024 0 37.782 45.1503 225.302 621.924
Model_1_goa_pop_2023 3 2025 0 38.4985 46.0052 230.214 634.941
Model_1_goa_pop_2023 3 2026 0 39.1584 46.7933 234.238 648.255
Model_1_goa_pop_2023 3 2027 0 39.8107 47.5734 237.869 661.721
Model_1_goa_pop_2023 3 2028 0 40.4578 48.348 241.691 675.189
Model_1_goa_pop_2023 3 2029 0 41.1298 49.153 246.007 688.365
Model_1_goa_pop_2023 3 2030 0 41.8088 49.9666 250.886 701.225
Model_1_goa_pop_2023 3 2031 0 42.5068 50.8026 256.153 713.614
Model_1_goa_pop_2023 3 2032 0 43.2099 51.6443 261.609 725.627
Model_1_goa_pop_2023 3 2033 0 43.9338 52.5103 267.018 736.981
Model_1_goa_pop_2023 3 2034 29.195 44.6533 53.3704 267.874 747.654
Model_1_goa_pop_2023 4 2021 31.454 39.7189 47.4663 228.029 649.838
Model_1_goa_pop_2023 4 2022 29.89 38.3535 45.8348 221.381 628.217
Model_1_goa_pop_2023 4 2023 0 37.0013 44.2189 219.342 609.306
Model_1_goa_pop_2023 4 2024 0 37.782 45.1503 225.302 621.924
Model_1_goa_pop_2023 4 2025 0 38.4985 46.0052 230.214 634.941
Model_1_goa_pop_2023 4 2026 0 39.1584 46.7933 234.238 648.255
Model_1_goa_pop_2023 4 2027 0 39.8107 47.5734 237.869 661.721
Model_1_goa_pop_2023 4 2028 0 40.4578 48.348 241.691 675.189
Model_1_goa_pop_2023 4 2029 0 41.1298 49.153 246.007 688.365
Model_1_goa_pop_2023 4 2030 0 41.8088 49.9666 250.886 701.225
Model_1_goa_pop_2023 4 2031 0 42.5068 50.8026 256.153 713.614
Model_1_goa_pop_2023 4 2032 0 43.2099 51.6443 261.609 725.627
Model_1_goa_pop_2023 4 2033 0 43.9338 52.5103 267.018 736.981
Model_1_goa_pop_2023 4 2034 11.7093 44.6533 53.3704 270.523 747.654
Model_1_goa_pop_2023 5 2021 31.454 39.7189 47.4663 228.029 649.838
Model_1_goa_pop_2023 5 2022 29.89 38.3535 45.8348 221.381 628.217
Model_1_goa_pop_2023 5 2023 0 37.0013 44.2189 219.342 609.306
Model_1_goa_pop_2023 5 2024 0 37.782 45.1503 225.302 621.924
Model_1_goa_pop_2023 5 2025 0 38.4985 46.0052 230.214 634.941
Model_1_goa_pop_2023 5 2026 0 39.1584 46.7933 234.238 648.255
Model_1_goa_pop_2023 5 2027 0 39.8107 47.5734 237.869 661.721
Model_1_goa_pop_2023 5 2028 0 40.4578 48.348 241.691 675.189
Model_1_goa_pop_2023 5 2029 0 41.1298 49.153 246.007 688.365
Model_1_goa_pop_2023 5 2030 0 41.8088 49.9666 250.886 701.225
Model_1_goa_pop_2023 5 2031 0 42.5068 50.8026 256.153 713.614
Model_1_goa_pop_2023 5 2032 0 43.2099 51.6443 261.609 725.627
Model_1_goa_pop_2023 5 2033 0 43.9338 52.5103 267.018 736.981
Model_1_goa_pop_2023 5 2034 0 44.6533 53.3704 272.27 747.654
Model_1_goa_pop_2023 6 2021 47.4663 39.7189 47.4663 225.566 649.838
Model_1_goa_pop_2023 6 2022 44.4239 37.1721 44.4239 212.168 612.183
Model_1_goa_pop_2023 6 2023 41.5684 34.7821 41.5684 199.842 579.353
Model_1_goa_pop_2023 6 2024 38.9225 32.5675 38.9225 188.178 551.623
Model_1_goa_pop_2023 6 2025 36.5462 30.5782 36.5462 176.925 528.705
Model_1_goa_pop_2023 6 2026 34.4603 28.8314 34.4603 166.387 510.185
Model_1_goa_pop_2023 6 2027 32.7161 27.3699 32.7161 157.097 495.554
Model_1_goa_pop_2023 6 2028 31.3052 26.1871 31.3052 149.5 484.179
Model_1_goa_pop_2023 6 2029 30.1792 25.2549 30.1792 143.688 475.321
Model_1_goa_pop_2023 6 2030 29.0196 24.3165 29.0196 139.525 468.517
Model_1_goa_pop_2023 6 2031 28.0852 23.5429 28.0852 136.718 463.55
Model_1_goa_pop_2023 6 2032 27.4688 23.0287 27.4688 134.882 460.154
Model_1_goa_pop_2023 6 2033 27.0971 22.7175 27.0971 133.646 457.677
Model_1_goa_pop_2023 6 2034 26.8851 22.5412 26.8851 132.773 455.74
Model_1_goa_pop_2023 7 2021 39.7189 39.7189 47.4663 226.764 649.838
Model_1_goa_pop_2023 7 2022 37.7433 37.7434 45.1062 216.575 619.94
Model_1_goa_pop_2023 7 2023 42.8187 35.8289 42.8187 205.882 593.495
Model_1_goa_pop_2023 7 2024 40.022 33.4881 40.022 193.571 563.928
Model_1_goa_pop_2023 7 2025 37.503 31.3794 37.503 181.693 539.347
Model_1_goa_pop_2023 7 2026 35.2839 29.521 35.2839 170.562 519.344
Model_1_goa_pop_2023 7 2027 33.4183 27.958 33.4184 160.722 503.406
Model_1_goa_pop_2023 7 2028 31.8985 26.6838 31.8985 152.628 490.893
Model_1_goa_pop_2023 7 2029 30.7146 25.6937 30.7146 146.37 481.053
Model_1_goa_pop_2023 7 2030 29.6034 24.7916 29.6034 141.786 473.37
Model_1_goa_pop_2023 7 2031 28.6032 23.9696 28.6032 138.578 467.518
Model_1_goa_pop_2023 7 2032 27.8885 23.3749 27.8885 136.394 463.346
Model_1_goa_pop_2023 7 2033 27.4269 22.9903 27.4269 134.869 460.231
Model_1_goa_pop_2023 7 2034 27.1424 22.7539 27.1424 133.76 457.782
