Alternative Spp Yr  ABC OFL Catch SSB F Tot_biom
1 Model_1_goa_re_2021.dat 2021 0.791748 0.950818 0.407204 8.68089 0.0194333 26.1606
1 Model_1_goa_re_2021.dat 2022 0.787454 0.945656 0.494063 8.61534 0.0237564 26.0948
1 Model_1_goa_re_2021.dat 2023 0.774789 0.930454 0.774789 8.48698 0.0381281 25.9204
1 Model_1_goa_re_2021.dat 2024 0.758048 0.910359 0.758048 8.2898 0.0381281 25.4873
1 Model_1_goa_re_2021.dat 2025 0.749618 0.900239 0.749618 8.1131 0.0381281 25.093
1 Model_1_goa_re_2021.dat 2026 0.749571 0.900155 0.749571 7.94596 0.0381281 24.7515
1 Model_1_goa_re_2021.dat 2027 0.728163 0.874453 0.728163 7.77999 0.0381281 24.3943
1 Model_1_goa_re_2021.dat 2028 0.707908 0.850139 0.707908 7.615 0.0381281 24.0777
1 Model_1_goa_re_2021.dat 2029 0.691426 0.830352 0.691426 7.45368 0.0381281 23.7881
1 Model_1_goa_re_2021.dat 2030 0.67693 0.812947 0.67693 7.29948 0.0381281 23.5429
1 Model_1_goa_re_2021.dat 2031 0.663551 0.796885 0.663551 7.15805 0.0381281 23.3576
1 Model_1_goa_re_2021.dat 2032 0.652559 0.783689 0.652559 7.02624 0.0381281 23.185
1 Model_1_goa_re_2021.dat 2033 0.644365 0.773855 0.644365 6.91604 0.0381281 23.0323
1 Model_1_goa_re_2021.dat 2034 0.640629 0.76938 0.640629 6.82814 0.0381281 22.8834
1 Model_1_goa_re_2021.dat 2021 0.791748 0.950818 0.407204 8.68089 0.0194333 26.1606
1 Model_1_goa_re_2021.dat 2022 0.787453 0.945654 0.494063 8.61534 0.0237565 26.0144
1 Model_1_goa_re_2021.dat 2023 0.774783 0.930446 0.774783 8.48698 0.0381281 25.7833
1 Model_1_goa_re_2021.dat 2024 0.758022 0.910327 0.758022 8.2898 0.0381281 25.2803
1 Model_1_goa_re_2021.dat 2025 0.749522 0.900123 0.749522 8.1131 0.0381281 24.8114
1 Model_1_goa_re_2021.dat 2026 0.749271 0.899793 0.749271 7.94576 0.0381281 24.3843
1 Model_1_goa_re_2021.dat 2027 0.727382 0.873511 0.727382 7.77953 0.0381281 23.9661
1 Model_1_goa_re_2021.dat 2028 0.706316 0.84822 0.706316 7.6139 0.0381281 23.5947
1 Model_1_goa_re_2021.dat 2029 0.689137 0.827594 0.689137 7.45055 0.0381281 23.2334
1 Model_1_goa_re_2021.dat 2030 0.674465 0.809978 0.674465 7.29153 0.0381281 22.9053
1 Model_1_goa_re_2021.dat 2031 0.661116 0.793952 0.661116 7.14143 0.0381281 22.5958
1 Model_1_goa_re_2021.dat 2032 0.650012 0.780621 0.650012 6.99381 0.0381281 22.3613
1 Model_1_goa_re_2021.dat 2033 0.640445 0.769132 0.640445 6.85948 0.0381281 22.1592
1 Model_1_goa_re_2021.dat 2034 0.631022 0.757813 0.631022 6.73859 0.0381281 21.981
1 Model_1_goa_re_2021.dat 2021 0.791748 0.950818 0.407204 8.68089 0.0194333 26.1606
1 Model_1_goa_re_2021.dat 2022 0.787454 0.945655 0.494063 8.61534 0.0237564 26.0818
1 Model_1_goa_re_2021.dat 2023 0.774788 0.930453 0.774788 8.48698 0.0381281 25.9064
1 Model_1_goa_re_2021.dat 2024 0.758045 0.910354 0.758045 8.2898 0.0381281 25.4727
1 Model_1_goa_re_2021.dat 2025 0.749606 0.900224 0.749606 8.1131 0.0381281 25.0924
1 Model_1_goa_re_2021.dat 2026 0.749534 0.90011 0.749534 7.94593 0.0381281 24.7052
1 Model_1_goa_re_2021.dat 2027 0.728075 0.874346 0.728075 7.77994 0.0381281 24.3497
1 Model_1_goa_re_2021.dat 2028 0.707751 0.84995 0.707751 7.61488 0.0381281 24.0313
1 Model_1_goa_re_2021.dat 2029 0.691267 0.830161 0.691267 7.45335 0.0381281 23.7418
1 Model_1_goa_re_2021.dat 2030 0.676841 0.81284 0.676841 7.29853 0.0381281 23.5141
1 Model_1_goa_re_2021.dat 2031 0.66343 0.796739 0.66343 7.15631 0.0381281 23.334
1 Model_1_goa_re_2021.dat 2032 0.652194 0.78325 0.652194 7.0232 0.0381281 23.2075
1 Model_1_goa_re_2021.dat 2033 0.643697 0.773051 0.643697 6.91103 0.0381281 23.1093
1 Model_1_goa_re_2021.dat 2034 0.639498 0.768019 0.639498 6.8204 0.0381281 23.0649
1 Model_1_goa_re_2021.dat 2021 0.791748 0.950818 0.407204 8.68089 0.0194333 26.1606
1 Model_1_goa_re_2021.dat 2022 0.787453 0.945654 0.494063 8.61534 0.0237565 26.0262
1 Model_1_goa_re_2021.dat 2023 0.774784 0.930448 0.774784 8.48698 0.0381281 25.8393
1 Model_1_goa_re_2021.dat 2024 0.758029 0.910335 0.758029 8.2898 0.0381281 25.3759
1 Model_1_goa_re_2021.dat 2025 0.749549 0.900156 0.749549 8.1131 0.0381281 24.9959
1 Model_1_goa_re_2021.dat 2026 0.749362 0.899903 0.749362 7.94579 0.0381281 24.6561
1 Model_1_goa_re_2021.dat 2027 0.72765 0.873834 0.72765 7.77968 0.0381281 24.318
1 Model_1_goa_re_2021.dat 2028 0.706968 0.849005 0.706968 7.61428 0.0381281 24.0464
1 Model_1_goa_re_2021.dat 2029 0.690393 0.829107 0.690393 7.45163 0.0381281 23.8049
1 Model_1_goa_re_2021.dat 2030 0.676375 0.812278 0.676375 7.29442 0.0381281 23.5907
1 Model_1_goa_re_2021.dat 2031 0.663608 0.796954 0.663608 7.14817 0.0381281 23.3697
1 Model_1_goa_re_2021.dat 2032 0.652961 0.784174 0.652961 7.00817 0.0381281 23.1907
1 Model_1_goa_re_2021.dat 2033 0.643848 0.773233 0.643848 6.88771 0.0381281 23.0065
1 Model_1_goa_re_2021.dat 2034 0.636089 0.763918 0.636089 6.78829 0.0381281 22.8242
1 Model_1_goa_re_2021.dat 2021 0.791748 0.950818 0.407204 8.68089 0.0194333 26.1606
1 Model_1_goa_re_2021.dat 2022 0.787453 0.945654 0.494063 8.61534 0.0237565 26.0251
1 Model_1_goa_re_2021.dat 2023 0.774783 0.930447 0.774783 8.48698 0.0381281 25.7876
1 Model_1_goa_re_2021.dat 2024 0.758024 0.91033 0.758024 8.2898 0.0381281 25.2904
1 Model_1_goa_re_2021.dat 2025 0.749531 0.900133 0.749531 8.1131 0.0381281 24.7939
1 Model_1_goa_re_2021.dat 2026 0.749293 0.89982 0.749293 7.94579 0.0381281 24.3101
1 Model_1_goa_re_2021.dat 2027 0.727429 0.873567 0.727429 7.77955 0.0381281 23.8519
1 Model_1_goa_re_2021.dat 2028 0.706368 0.848283 0.706368 7.61398 0.0381281 23.4078
1 Model_1_goa_re_2021.dat 2029 0.689071 0.827515 0.689071 7.45074 0.0381281 22.9922
1 Model_1_goa_re_2021.dat 2030 0.674095 0.809531 0.674095 7.29186 0.0381281 22.6414
1 Model_1_goa_re_2021.dat 2031 0.66025 0.792907 0.66025 7.1419 0.0381281 22.2961
1 Model_1_goa_re_2021.dat 2032 0.648567 0.778878 0.648567 6.99419 0.0381281 21.9768
1 Model_1_goa_re_2021.dat 2033 0.638813 0.767166 0.638813 6.85828 0.0381281 21.6947
1 Model_1_goa_re_2021.dat 2034 0.629868 0.756421 0.629868 6.73356 0.0381281 21.4245
1 Model_1_goa_re_2021.dat 2021 0.791748 0.950818 0.407204 8.68089 0.0194333 26.1606
1 Model_1_goa_re_2021.dat 2022 0.787453 0.945654 0.494063 8.61534 0.0237565 26.0218
1 Model_1_goa_re_2021.dat 2023 0.774784 0.930447 0.774784 8.48698 0.0381281 25.8141
1 Model_1_goa_re_2021.dat 2024 0.758025 0.910331 0.758025 8.2898 0.0381281 25.2976
1 Model_1_goa_re_2021.dat 2025 0.749534 0.900138 0.749534 8.1131 0.0381281 24.8044
1 Model_1_goa_re_2021.dat 2026 0.749307 0.899837 0.749307 7.94578 0.0381281 24.3659
1 Model_1_goa_re_2021.dat 2027 0.727476 0.873624 0.727476 7.77961 0.0381281 23.935
1 Model_1_goa_re_2021.dat 2028 0.706493 0.848433 0.706493 7.61403 0.0381281 23.5654
1 Model_1_goa_re_2021.dat 2029 0.689317 0.82781 0.689317 7.45084 0.0381281 23.247
1 Model_1_goa_re_2021.dat 2030 0.674385 0.80988 0.674385 7.29241 0.0381281 22.9708
1 Model_1_goa_re_2021.dat 2031 0.660653 0.793393 0.660653 7.14323 0.0381281 22.7196
1 Model_1_goa_re_2021.dat 2032 0.649511 0.780017 0.649511 6.99662 0.0381281 22.4949
1 Model_1_goa_re_2021.dat 2033 0.640468 0.76916 0.640468 6.8636 0.0381281 22.2962
1 Model_1_goa_re_2021.dat 2034 0.632425 0.759503 0.632425 6.74326 0.0381281 22.155
1 Model_1_goa_re_2021.dat 2021 0.791748 0.950818 0.407204 8.68089 0.0194333 26.1606
1 Model_1_goa_re_2021.dat 2022 0.787453 0.945654 0.494063 8.61534 0.0237565 26.0171
1 Model_1_goa_re_2021.dat 2023 0.774783 0.930447 0.774783 8.48698 0.0381281 25.8034
1 Model_1_goa_re_2021.dat 2024 0.758023 0.910329 0.758023 8.2898 0.0381281 25.2836
1 Model_1_goa_re_2021.dat 2025 0.74953 0.900132 0.74953 8.1131 0.0381281 24.8925
1 Model_1_goa_re_2021.dat 2026 0.749295 0.899822 0.749295 7.94577 0.0381281 24.4886
1 Model_1_goa_re_2021.dat 2027 0.727456 0.8736 0.727456 7.77958 0.0381281 24.1305
1 Model_1_goa_re_2021.dat 2028 0.7065 0.848441 0.7065 7.61395 0.0381281 23.8378
1 Model_1_goa_re_2021.dat 2029 0.689515 0.82805 0.689515 7.4509 0.0381281 23.5808
1 Model_1_goa_re_2021.dat 2030 0.675133 0.810783 0.675133 7.29241 0.0381281 23.3608
1 Model_1_goa_re_2021.dat 2031 0.662308 0.795388 0.662308 7.14336 0.0381281 23.1511
1 Model_1_goa_re_2021.dat 2032 0.651782 0.782753 0.651782 6.99817 0.0381281 22.9739
1 Model_1_goa_re_2021.dat 2033 0.642646 0.771784 0.642646 6.86902 0.0381281 22.7955
1 Model_1_goa_re_2021.dat 2034 0.634126 0.761553 0.634126 6.75611 0.0381281 22.6422
1 Model_1_goa_re_2021.dat 2021 0.791748 0.950818 0.407204 8.68089 0.0194333 26.1606
1 Model_1_goa_re_2021.dat 2022 0.787453 0.945655 0.494063 8.61534 0.0237565 26.0571
1 Model_1_goa_re_2021.dat 2023 0.774786 0.93045 0.774786 8.48698 0.0381281 25.851
1 Model_1_goa_re_2021.dat 2024 0.758036 0.910343 0.758036 8.2898 0.0381281 25.3966
1 Model_1_goa_re_2021.dat 2025 0.749572 0.900184 0.749572 8.1131 0.0381281 24.9454
1 Model_1_goa_re_2021.dat 2026 0.749427 0.89998 0.749427 7.94587 0.0381281 24.5317
1 Model_1_goa_re_2021.dat 2027 0.727785 0.873997 0.727785 7.77976 0.0381281 24.1337
1 Model_1_goa_re_2021.dat 2028 0.70713 0.849201 0.70713 7.61449 0.0381281 23.7748
1 Model_1_goa_re_2021.dat 2029 0.690275 0.828965 0.690275 7.45216 0.0381281 23.4537
1 Model_1_goa_re_2021.dat 2030 0.675601 0.811346 0.675601 7.29555 0.0381281 23.1624
1 Model_1_goa_re_2021.dat 2031 0.662002 0.795019 0.662002 7.14988 0.0381281 22.8813
1 Model_1_goa_re_2021.dat 2032 0.650675 0.781419 0.650675 7.01021 0.0381281 22.6447
1 Model_1_goa_re_2021.dat 2033 0.64183 0.770801 0.64183 6.88732 0.0381281 22.4153
1 Model_1_goa_re_2021.dat 2034 0.635602 0.763327 0.635602 6.78166 0.0381281 22.2145
1 Model_1_goa_re_2021.dat 2021 0.791748 0.950818 0.407204 8.68089 0.0194333 26.1606
1 Model_1_goa_re_2021.dat 2022 0.787453 0.945655 0.494063 8.61534 0.0237565 26.0524
1 Model_1_goa_re_2021.dat 2023 0.774785 0.93045 0.774785 8.48698 0.0381281 25.833
1 Model_1_goa_re_2021.dat 2024 0.758033 0.91034 0.758033 8.2898 0.0381281 25.3329
1 Model_1_goa_re_2021.dat 2025 0.749561 0.90017 0.749561 8.1131 0.0381281 24.8556
1 Model_1_goa_re_2021.dat 2026 0.749387 0.899932 0.749387 7.94585 0.0381281 24.4053
1 Model_1_goa_re_2021.dat 2027 0.727665 0.873852 0.727665 7.77971 0.0381281 23.9598
1 Model_1_goa_re_2021.dat 2028 0.706823 0.848831 0.706823 7.61428 0.0381281 23.5895
1 Model_1_goa_re_2021.dat 2029 0.689648 0.82821 0.689648 7.45167 0.0381281 23.2473
1 Model_1_goa_re_2021.dat 2030 0.674595 0.810134 0.674595 7.29429 0.0381281 22.9293
1 Model_1_goa_re_2021.dat 2031 0.660788 0.793555 0.660788 7.1467 0.0381281 22.6257
1 Model_1_goa_re_2021.dat 2032 0.649487 0.779987 0.649487 7.00328 0.0381281 22.3702
1 Model_1_goa_re_2021.dat 2033 0.640643 0.769371 0.640643 6.87396 0.0381281 22.1361
1 Model_1_goa_re_2021.dat 2034 0.634033 0.761437 0.634033 6.75771 0.0381281 21.9056
1 Model_1_goa_re_2021.dat 2021 0.791748 0.950818 0.407204 8.68089 0.0194333 26.1606
1 Model_1_goa_re_2021.dat 2022 0.787453 0.945654 0.494063 8.61534 0.0237565 26.0327
1 Model_1_goa_re_2021.dat 2023 0.774784 0.930448 0.774784 8.48698 0.0381281 25.8217
1 Model_1_goa_re_2021.dat 2024 0.758028 0.910334 0.758028 8.2898 0.0381281 25.3208
1 Model_1_goa_re_2021.dat 2025 0.749545 0.90015 0.749545 8.1131 0.0381281 24.8432
1 Model_1_goa_re_2021.dat 2026 0.749339 0.899875 0.749339 7.9458 0.0381281 24.3783
1 Model_1_goa_re_2021.dat 2027 0.727556 0.873721 0.727556 7.77965 0.0381281 23.9733
1 Model_1_goa_re_2021.dat 2028 0.706649 0.848621 0.706649 7.61415 0.0381281 23.6319
1 Model_1_goa_re_2021.dat 2029 0.689527 0.828063 0.689527 7.45121 0.0381281 23.3459
1 Model_1_goa_re_2021.dat 2030 0.674625 0.81017 0.674625 7.29317 0.0381281 23.0913
1 Model_1_goa_re_2021.dat 2031 0.660903 0.793695 0.660903 7.14485 0.0381281 22.8779
1 Model_1_goa_re_2021.dat 2032 0.649719 0.780268 0.649719 7.00002 0.0381281 22.6927
1 Model_1_goa_re_2021.dat 2033 0.641014 0.769819 0.641014 6.86921 0.0381281 22.5209
1 Model_1_goa_re_2021.dat 2034 0.63403 0.761435 0.63403 6.75194 0.0381281 22.3323
1 Model_1_goa_re_2021.dat 2021 0.791748 0.950818 0.407204 8.68089 0.0194333 26.1606
1 Model_1_goa_re_2021.dat 2022 0.787453 0.945654 0.494063 8.61534 0.0237565 26.0285
1 Model_1_goa_re_2021.dat 2023 0.774784 0.930448 0.774784 8.48698 0.0381281 25.8039
1 Model_1_goa_re_2021.dat 2024 0.758026 0.910332 0.758026 8.2898 0.0381281 25.2997
1 Model_1_goa_re_2021.dat 2025 0.749537 0.900141 0.749537 8.1131 0.0381281 24.8119
1 Model_1_goa_re_2021.dat 2026 0.749314 0.899845 0.749314 7.94579 0.0381281 24.3773
1 Model_1_goa_re_2021.dat 2027 0.727487 0.873638 0.727487 7.7796 0.0381281 23.999
1 Model_1_goa_re_2021.dat 2028 0.706502 0.848444 0.706502 7.61405 0.0381281 23.6723
1 Model_1_goa_re_2021.dat 2029 0.689311 0.827803 0.689311 7.45094 0.0381281 23.3668
1 Model_1_goa_re_2021.dat 2030 0.674473 0.809986 0.674473 7.29253 0.0381281 23.133
1 Model_1_goa_re_2021.dat 2031 0.661003 0.793815 0.661003 7.14346 0.0381281 22.9414
1 Model_1_goa_re_2021.dat 2032 0.650182 0.780826 0.650182 6.99733 0.0381281 22.8123
1 Model_1_goa_re_2021.dat 2033 0.641617 0.770545 0.641617 6.86476 0.0381281 22.7123
1 Model_1_goa_re_2021.dat 2034 0.633981 0.761377 0.633981 6.7462 0.0381281 22.6593
1 Model_1_goa_re_2021.dat 2021 0.791748 0.950818 0.407204 8.68089 0.0194333 26.1606
1 Model_1_goa_re_2021.dat 2022 0.787453 0.945654 0.494063 8.61534 0.0237565 26.0316
1 Model_1_goa_re_2021.dat 2023 0.774784 0.930448 0.774784 8.48698 0.0381281 25.8323
1 Model_1_goa_re_2021.dat 2024 0.758029 0.910335 0.758029 8.2898 0.0381281 25.3511
1 Model_1_goa_re_2021.dat 2025 0.749548 0.900155 0.749548 8.1131 0.0381281 24.8862
1 Model_1_goa_re_2021.dat 2026 0.749353 0.899892 0.749353 7.9458 0.0381281 24.4321
1 Model_1_goa_re_2021.dat 2027 0.727603 0.873777 0.727603 7.77968 0.0381281 23.9567
1 Model_1_goa_re_2021.dat 2028 0.706778 0.848777 0.706778 7.61423 0.0381281 23.5818
1 Model_1_goa_re_2021.dat 2029 0.689803 0.828396 0.689803 7.45139 0.0381281 23.2065
1 Model_1_goa_re_2021.dat 2030 0.675006 0.81063 0.675006 7.29366 0.0381281 22.8545
1 Model_1_goa_re_2021.dat 2031 0.661112 0.793946 0.661112 7.146 0.0381281 22.5487
1 Model_1_goa_re_2021.dat 2032 0.649339 0.77981 0.649339 7.00258 0.0381281 22.2495
1 Model_1_goa_re_2021.dat 2033 0.639706 0.768242 0.639706 6.87401 0.0381281 21.9591
1 Model_1_goa_re_2021.dat 2034 0.632049 0.759049 0.632049 6.75923 0.0381281 21.6993
1 Model_1_goa_re_2021.dat 2021 0.791748 0.950818 0.407204 8.68089 0.0194333 26.1606
1 Model_1_goa_re_2021.dat 2022 0.787453 0.945654 0.494063 8.61534 0.0237565 26.0343
1 Model_1_goa_re_2021.dat 2023 0.774785 0.930449 0.774785 8.48698 0.0381281 25.8429
1 Model_1_goa_re_2021.dat 2024 0.75803 0.910337 0.75803 8.2898 0.0381281 25.3851
1 Model_1_goa_re_2021.dat 2025 0.749555 0.900163 0.749555 8.1131 0.0381281 24.948
1 Model_1_goa_re_2021.dat 2026 0.749377 0.899921 0.749377 7.94581 0.0381281 24.5282
1 Model_1_goa_re_2021.dat 2027 0.727676 0.873865 0.727676 7.77971 0.0381281 24.1516
1 Model_1_goa_re_2021.dat 2028 0.706969 0.849006 0.706969 7.61435 0.0381281 23.8034
1 Model_1_goa_re_2021.dat 2029 0.690216 0.828894 0.690216 7.45169 0.0381281 23.4636
1 Model_1_goa_re_2021.dat 2030 0.67575 0.811526 0.67575 7.29445 0.0381281 23.1595
1 Model_1_goa_re_2021.dat 2031 0.66224 0.795305 0.66224 7.14811 0.0381281 22.8579
1 Model_1_goa_re_2021.dat 2032 0.650862 0.781644 0.650862 7.0072 0.0381281 22.563
1 Model_1_goa_re_2021.dat 2033 0.641624 0.770553 0.641624 6.88335 0.0381281 22.3571
1 Model_1_goa_re_2021.dat 2034 0.634212 0.761655 0.634212 6.77718 0.0381281 22.1392
1 Model_1_goa_re_2021.dat 2021 0.791748 0.950818 0.407204 8.68089 0.0194333 26.1606
1 Model_1_goa_re_2021.dat 2022 0.787453 0.945654 0.494063 8.61534 0.0237565 26.0317
1 Model_1_goa_re_2021.dat 2023 0.774784 0.930448 0.774784 8.48698 0.0381281 25.8132
1 Model_1_goa_re_2021.dat 2024 0.758027 0.910333 0.758027 8.2898 0.0381281 25.3071
1 Model_1_goa_re_2021.dat 2025 0.749541 0.900146 0.749541 8.1131 0.0381281 24.821
1 Model_1_goa_re_2021.dat 2026 0.749328 0.899862 0.749328 7.9458 0.0381281 24.3928
1 Model_1_goa_re_2021.dat 2027 0.727524 0.873682 0.727524 7.77963 0.0381281 23.9531
1 Model_1_goa_re_2021.dat 2028 0.706572 0.848529 0.706572 7.61409 0.0381281 23.5652
1 Model_1_goa_re_2021.dat 2029 0.689393 0.827902 0.689393 7.45107 0.0381281 23.2167
1 Model_1_goa_re_2021.dat 2030 0.674477 0.809991 0.674477 7.29291 0.0381281 22.8856
1 Model_1_goa_re_2021.dat 2031 0.660809 0.793582 0.660809 7.14409 0.0381281 22.5897
1 Model_1_goa_re_2021.dat 2032 0.649605 0.78013 0.649605 6.99837 0.0381281 22.3242
1 Model_1_goa_re_2021.dat 2033 0.640395 0.769072 0.640395 6.86637 0.0381281 22.0551
1 Model_1_goa_re_2021.dat 2034 0.632298 0.759349 0.632298 6.74739 0.0381281 21.796
1 Model_1_goa_re_2021.dat 2021 0.791748 0.950818 0.407204 8.68089 0.0194333 26.1606
1 Model_1_goa_re_2021.dat 2022 0.787453 0.945655 0.494063 8.61534 0.0237565 26.0547
1 Model_1_goa_re_2021.dat 2023 0.774786 0.93045 0.774786 8.48698 0.0381281 25.8573
1 Model_1_goa_re_2021.dat 2024 0.758036 0.910343 0.758036 8.2898 0.0381281 25.4006
1 Model_1_goa_re_2021.dat 2025 0.749572 0.900184 0.749572 8.1131 0.0381281 24.9619
1 Model_1_goa_re_2021.dat 2026 0.749429 0.899983 0.749429 7.94586 0.0381281 24.5765
1 Model_1_goa_re_2021.dat 2027 0.727797 0.874012 0.727797 7.77977 0.0381281 24.217
1 Model_1_goa_re_2021.dat 2028 0.707176 0.849256 0.707176 7.6145 0.0381281 23.8893
1 Model_1_goa_re_2021.dat 2029 0.690409 0.829127 0.690409 7.45219 0.0381281 23.6704
