Stock Year Catch ABC OFL SSB TotBiom
Model_Proj.dat 2021 7326.4 7326.4 8567.92 51913.9 87862.8
Model_Proj.dat 2022 6139.32 6139.32 7181.26 47196.8 79439
Model_Proj.dat 2023 5098.96 5098.96 5966.29 42395.8 73048.8
Model_Proj.dat 2024 4260.72 4260.72 4987.49 37879.9 67817.7
Model_Proj.dat 2025 3486.45 3486.45 4084.61 33919.2 64781.8
Model_Proj.dat 2026 2895.04 2895.04 3395.47 30881.4 63051.1
Model_Proj.dat 2027 2690.39 2690.39 3157.56 28981.1 63071.8
Model_Proj.dat 2028 2768.29 2768.29 3249.57 28113.6 64721
Model_Proj.dat 2029 3040.33 3040.33 3568.14 28095.9 67089.5
Model_Proj.dat 2030 3407.44 3407.44 3997.42 28667.1 69226.6
Model_Proj.dat 2031 3800.4 3800.4 4456.69 29609.4 71232.6
Model_Proj.dat 2032 4197.9 4197.9 4921.17 30774.4 73206.1
Model_Proj.dat 2033 4532.15 4532.15 5311.46 31994 74792.5
Model_Proj.dat 2034 4775.15 4775.15 5594.89 33042.5 76791.6
Model_Proj.dat 2035 4911.32 4911.32 5753.52 33780.2 77982.2
Model_Proj.dat 2036 4977.51 4977.51 5830.68 34223.6 78739
Model_Proj.dat 2037 5009.13 5009.13 5867.94 34496.9 79268.4
Model_Proj.dat 2038 5048.66 5048.66 5914.67 34761.2 79707.7
Model_Proj.dat 2039 5103 5103 5978.45 35023.5 80188.1
