Stock Alt Sim Yr  SSB Rec Tot_biom SPR_Implied F Ntot Catch ABC OFL AvgAge AvgAgeTot SexRatio
M16.2 1 1 2019 172.699 0.778124 671.538 0.571974 0.169251 0.636921 55 93.0461 107.887 5.2482 2.95604 0.5
M16.2 1 1 2020 156.368 0.620316 665.034 0.4 0.299118 0.611551 91.5924 91.5924 106.144 5.08532 2.89583 0.5
M16.2 1 1 2021 139.048 0.42615 645.112 0.4 0.299118 0.549933 83.4808 83.4808 96.7631 4.69259 3.06012 0.5
M16.2 1 1 2022 130.898 0.633177 631.998 0.411522 0.288054 0.533192 82.9462 82.9462 94.6088 4.49885 2.89292 0.5
M16.2 1 1 2023 132.273 1.30595 611.731 0.408143 0.291251 0.548044 84.7278 84.7278 96.5692 4.60674 2.31752 0.5
M16.2 1 1 2024 128.395 0.456378 629.601 0.417779 0.282231 0.532505 75.616 75.616 86.2228 4.44309 2.72346 0.5
M16.2 1 1 2025 123.076 0.958439 687.688 0.431533 0.269864 0.522248 74.4084 74.4084 84.9402 3.90069 2.59408 0.5
M16.2 1 1 2026 133.451 1.29149 748.079 0.405281 0.29399 0.593064 104.264 104.264 118.763 3.99834 2.37965 0.5
M16.2 1 1 2027 151.605 0.281164 793.152 0.4 0.299118 0.667088 102.352 102.352 118.625 4.15724 2.96153 0.5
M16.2 1 1 2028 151.174 0.443774 819 0.4 0.299118 0.667033 106.107 106.107 123.012 3.95508 3.19826 0.5
M16.2 1 1 2029 160.893 0.751058 790.127 0.4 0.299118 0.716297 126.484 126.484 146.541 4.36646 2.92444 0.5
M16.2 1 1 2030 169.513 1.57955 707.341 0.4 0.299118 0.714227 107.978 107.978 125.067 4.86218 2.26389 0.5
M16.2 1 1 2031 147.194 0.278634 702.139 0.4 0.299118 0.605673 88.7747 88.7747 102.83 4.48665 2.85369 0.5
M16.2 1 1 2032 131.665 1.05019 763.343 0.409637 0.289833 0.564216 88.9552 88.9552 101.25 3.81424 2.63545 0.5
M16.2 1 2 2019 172.699 0.547826 671.538 0.571974 0.169251 0.636921 55 93.0461 107.887 5.25809 3.20605 0.5
M16.2 1 2 2020 156.347 0.490602 651.886 0.4 0.299118 0.610399 91.5818 91.5818 106.132 5.1496 3.13082 0.5
M16.2 1 2 2021 138.611 0.200685 602.341 0.4 0.299118 0.542977 83.0302 83.0302 96.1703 4.96045 3.48857 0.5
M16.2 1 2 2022 126.93 0.428267 548.886 0.421499 0.278829 0.500559 72.9543 72.9543 83.2633 4.89212 3.2377 0.5
M16.2 1 2 2023 120.707 0.413877 494.314 0.437861 0.264363 0.475066 66.1032 66.1032 75.53 5.10072 3.07782 0.5
M16.2 1 2 2024 111.748 0.403107 450.14 0.46305 0.24355 0.43193 51.9606 51.9606 59.4678 5.14234 2.9978 0.5
M16.2 1 2 2025 100.695 0.780546 434.446 0.497051 0.217891 0.385139 44.4457 44.4457 51.0081 4.82017 2.51857 0.5
M16.2 1 2 2026 98.0691 0.485921 458.051 0.505649 0.211796 0.383093 44.0702 44.0702 50.6107 4.6092 2.68904 0.5
M16.2 1 2 2027 99.6601 0.5988 500.723 0.500405 0.215497 0.398764 44.7899 44.7899 51.4603 4.25292 2.69788 0.5
M16.2 1 2 2028 105.242 0.488602 543.924 0.482642 0.228449 0.440498 57.3899 57.3899 65.8326 4.20057 2.83642 0.5
M16.2 1 2 2029 116.668 0.485846 565.213 0.448975 0.254973 0.495001 67.8163 67.8163 77.5192 4.37674 2.89891 0.5
M16.2 1 2 2030 119.637 0.78087 558.864 0.440775 0.261869 0.501675 70.427 70.427 80.4408 4.45017 2.6155 0.5
M16.2 1 2 2031 119.074 0.526028 560.616 0.442321 0.260554 0.496901 69.6034 69.6034 79.4417 4.48771 2.75117 0.5
M16.2 1 2 2032 116.994 0.741531 575.69 0.44807 0.255725 0.485101 65.7656 65.7656 75.1351 4.28628 2.64123 0.5
M16.2 1 3 2019 172.699 1.02879 671.538 0.571974 0.169251 0.636921 55 93.0461 107.887 5.23748 2.74126 0.5
M16.2 1 3 2020 156.392 0.177899 679.344 0.4 0.299118 0.612804 91.604 91.604 106.158 5.04355 3.2824 0.5
M16.2 1 3 2021 139.468 0.236115 658.348 0.4 0.299118 0.554586 83.9442 83.9442 97.3096 4.58014 3.58052 0.5
M16.2 1 3 2022 134.199 0.254545 607.98 0.403476 0.295732 0.55055 92.517 92.517 105.445 4.74931 3.67603 0.5
M16.2 1 3 2023 134.622 0.414396 510.864 0.40246 0.296717 0.541842 79.5284 79.5284 90.5351 5.40042 3.23549 0.5
M16.2 1 3 2024 115.032 0.535483 422.765 0.453585 0.251176 0.436567 52.8774 52.8774 60.4545 5.49592 2.81137 0.5
M16.2 1 3 2025 96.8502 0.995301 402.379 0.50973 0.208955 0.359778 39.5665 39.5665 45.394 5.04278 2.27981 0.5
M16.2 1 3 2026 90.8586 0.429188 456.35 0.530357 0.195071 0.343514 36.1587 36.1587 41.6238 4.39605 2.65513 0.5
M16.2 1 3 2027 95.217 0.349417 536.664 0.515202 0.205195 0.387196 42.5577 42.5577 48.9938 3.92836 3.00464 0.5
M16.2 1 3 2028 110.321 1.17996 581.822 0.467239 0.240245 0.477364 67.4185 67.4185 77.2887 4.11476 2.38703 0.5
M16.2 1 3 2029 126.799 0.431485 604.739 0.421842 0.278517 0.548972 80.0294 80.0294 91.2496 4.50779 2.74883 0.5
M16.2 1 3 2030 123.336 1.01952 625.865 0.430851 0.270464 0.520224 69.8215 69.8215 79.65 4.09669 2.49583 0.5
M16.2 1 3 2031 122.565 0.378912 677.101 0.4329 0.268666 0.535142 87.0389 87.0389 99.2774 4.03228 2.90749 0.5
M16.2 1 3 2032 137.431 0.988461 699.191 0.4 0.299118 0.600171 94.3818 94.3818 108.465 4.17104 2.59088 0.5
M16.2 1 4 2019 172.699 0.210068 671.538 0.571974 0.169251 0.636921 55 93.0461 107.887 5.27267 3.71497 0.5
M16.2 1 4 2020 156.315 0.344894 632.604 0.4 0.299118 0.608711 91.5662 91.5662 106.113 5.24473 3.58691 0.5
M16.2 1 4 2021 137.975 0.259148 542.155 0.4 0.299118 0.532997 82.3715 82.3715 95.0437 5.38571 3.58298 0.5
M16.2 1 4 2022 121.173 0.387857 456.048 0.436602 0.265448 0.455865 59.2319 59.2319 67.6611 5.51176 3.21962 0.5
M16.2 1 4 2023 104.484 0.499294 405.438 0.484999 0.226692 0.384229 44.3789 44.3789 50.9071 5.34724 2.85065 0.5
M16.2 1 4 2024 94.3808 0.974307 395.953 0.518075 0.203244 0.350217 36.6388 36.6388 42.1279 5.02693 2.29385 0.5
M16.2 1 4 2025 90.3638 0.50311 445.303 0.532104 0.19393 0.344228 34.8485 34.8485 40.1433 4.4589 2.58729 0.5
M16.2 1 4 2026 93.5359 0.284035 526.743 0.520974 0.20129 0.381385 41.1948 41.1948 47.4203 3.94434 3.03988 0.5
M16.2 1 4 2027 108.075 0.453142 576.965 0.473963 0.235029 0.465848 64.9245 64.9245 74.4511 4.0859 3.05386 0.5
M16.2 1 4 2028 125.667 0.379308 560.755 0.424757 0.275885 0.540087 80.012 80.012 91.2593 4.65694 3.09974 0.5
M16.2 1 4 2029 122.245 0.327292 505.307 0.433748 0.267926 0.501462 67.286 67.286 76.7454 4.87288 3.16376 0.5
M16.2 1 4 2030 109.528 0.865323 464.152 0.469637 0.238372 0.437087 56.8626 56.8626 65.0008 4.7995 2.48948 0.5
M16.2 1 4 2031 104.703 0.872812 467.867 0.484346 0.227178 0.410869 50.7598 50.7598 58.1375 4.70573 2.35838 0.5
M16.2 1 4 2032 101.313 1.79246 524.157 0.495056 0.219327 0.402904 44.7044 44.7044 51.3236 4.11768 2.01471 0.5
M16.2 1 5 2019 172.699 1.58024 671.538 0.571974 0.169251 0.636921 55 93.0461 107.887 5.21404 2.40247 0.5
M16.2 1 5 2020 156.444 0.538804 710.826 0.4 0.299118 0.615561 91.6295 91.6295 106.188 4.8963 2.74541 0.5
M16.2 1 5 2021 140.518 0.446425 763.634 0.4 0.299118 0.571494 85.0254 85.0254 98.5846 4.08535 3.05831 0.5
M16.2 1 5 2022 144.684 0.479207 795.901 0.4 0.299118 0.62842 112.917 112.917 130.986 4.10544 3.18441 0.5
M16.2 1 5 2023 166.783 0.270305 740.655 0.4 0.299118 0.716661 112.591 112.591 130.49 4.72804 3.47591 0.5
M16.2 1 5 2024 157.409 0.642568 634.524 0.4 0.299118 0.649259 95.5489 95.5489 110.713 4.99474 2.99977 0.5
M16.2 1 5 2025 135.006 0.68748 558.039 0.401544 0.297609 0.547876 86.3759 86.3759 98.1077 5.06563 2.70502 0.5
M16.2 1 5 2026 119.813 0.474151 531.509 0.4403 0.262273 0.466883 62.7426 62.7426 71.5954 4.76849 2.82968 0.5
M16.2 1 5 2027 110.71 0.368229 546.161 0.466094 0.241144 0.438474 57.1439 57.1439 65.4733 4.35599 3.05342 0.5
M16.2 1 5 2028 115.271 0.295991 555.227 0.452899 0.251738 0.477563 66.7281 66.7281 76.3627 4.46806 3.27349 0.5
M16.2 1 5 2029 120.897 1.16386 523.577 0.437349 0.264804 0.499878 69.1535 69.1535 79.0099 4.75894 2.35476 0.5
M16.2 1 5 2030 116.598 0.316063 518.173 0.449174 0.254808 0.471209 61.5397 61.5397 70.3134 4.7818 2.80307 0.5
M16.2 1 5 2031 107.864 0.724911 552.646 0.474625 0.23452 0.436084 52.0865 52.0865 59.6297 4.13499 2.67773 0.5
M16.2 1 5 2032 111.683 0.74188 601.325 0.463244 0.243395 0.472907 70.9358 70.9358 81.2169 4.10089 2.63283 0.5
M16.2 1 6 2019 172.699 1.61852 671.538 0.571974 0.169251 0.636921 55 93.0461 107.887 5.21242 2.38378 0.5
M16.2 1 6 2020 156.447 0.475482 713.011 0.4 0.299118 0.615753 91.6312 91.6312 106.19 4.89017 2.78155 0.5
M16.2 1 6 2021 140.582 0.402784 765.898 0.4 0.299118 0.572226 85.0964 85.0964 98.6683 4.07265 3.12382 0.5
M16.2 1 6 2022 145.256 0.599046 792.051 0.4 0.299118 0.631114 114.094 114.094 132.351 4.12911 3.07956 0.5
M16.2 1 6 2023 167.349 0.409747 734.374 0.4 0.299118 0.717081 111.748 111.748 129.504 4.77691 3.20454 0.5
M16.2 1 6 2024 155.581 0.892797 644.005 0.4 0.299118 0.640577 92.9245 92.9245 107.672 4.88871 2.68975 0.5
M16.2 1 6 2025 133.907 0.542791 606.465 0.404182 0.295049 0.55026 87.6489 87.6489 99.597 4.73596 2.78813 0.5
M16.2 1 6 2026 125.019 0.315617 607.27 0.42644 0.274377 0.505271 72.6262 72.6262 82.8088 4.41212 3.11946 0.5
M16.2 1 6 2027 123.027 0.327947 604.862 0.431656 0.269756 0.508519 76.6067 76.6067 87.531 4.35652 3.2932 0.5
M16.2 1 6 2028 128.836 0.578217 563.77 0.416668 0.283256 0.540395 81.7007 81.7007 93.14 4.78177 2.93468 0.5
M16.2 1 6 2029 123.662 0.509362 507.267 0.429989 0.271224 0.500954 67.8745 67.8745 77.4392 5.02573 2.8414 0.5
M16.2 1 6 2030 110.798 0.319349 486.991 0.465854 0.241333 0.436101 54.2818 54.2818 62.0772 4.75154 3.05965 0.5
M16.2 1 6 2031 104.7 0.98536 488.814 0.484345 0.227178 0.414924 52.9269 52.9269 60.6581 4.49469 2.42773 0.5
M16.2 1 6 2032 108.449 1.35166 513.967 0.472843 0.23589 0.437951 56.0724 56.0724 64.2515 4.49917 2.14372 0.5
M16.2 1 7 2019 172.699 0.364916 671.538 0.571974 0.169251 0.636921 55 93.0461 107.887 5.26598 3.45529 0.5
M16.2 1 7 2020 156.329 0.215328 641.444 0.4 0.299118 0.609485 91.5733 91.5733 106.122 5.21019 3.70612 0.5
M16.2 1 7 2021 138.248 0.6647 558.537 0.4 0.299118 0.53659 82.6644 82.6644 95.5385 5.21524 2.95336 0.5
M16.2 1 7 2022 123.532 2.18384 493.138 0.430323 0.27093 0.473139 64.9372 64.9372 74.1461 5.1968 1.87778 0.5
M16.2 1 7 2023 109.642 0.405948 571.386 0.469258 0.238667 0.423084 48.1467 48.1467 55.1627 4.37998 2.51135 0.5
M16.2 1 7 2024 104.329 0.579677 747.529 0.485473 0.22634 0.444446 52.6714 52.6714 60.4961 3.26187 2.86409 0.5
M16.2 1 7 2025 135.631 0.329246 874.858 0.400056 0.299063 0.641746 127.192 127.192 145.032 3.70512 3.28262 0.5
M16.2 1 7 2026 182.318 0.713549 816.022 0.4 0.299118 0.815491 126.4 126.4 146.493 4.58593 3.00604 0.5
M16.2 1 7 2027 173.156 1.11377 702.469 0.4 0.299118 0.730633 108.43 108.43 125.606 4.89726 2.52194 0.5
M16.2 1 7 2028 146.228 0.508526 668.439 0.4 0.299118 0.608698 95.0863 95.0863 109.975 4.66609 2.78365 0.5
M16.2 1 7 2029 131.162 0.317106 692.02 0.410877 0.288662 0.538379 84.8073 84.8073 96.5522 4.10517 3.16513 0.5
M16.2 1 7 2030 135.468 1.16333 691.882 0.400441 0.298686 0.58017 99.7703 99.7703 113.668 4.24188 2.52334 0.5
M16.2 1 7 2031 145.489 1.3778 667.959 0.4 0.299118 0.62147 95.4794 95.4794 110.67 4.63356 2.26399 0.5
M16.2 1 7 2032 135.306 0.792876 712.451 0.400829 0.298307 0.575386 81.7218 81.7218 93.0017 4.14289 2.54078 0.5
M16.2 1 8 2019 172.699 0.375266 671.538 0.571974 0.169251 0.636921 55 93.0461 107.887 5.26553 3.43969 0.5
M16.2 1 8 2020 156.33 0.291612 642.035 0.4 0.299118 0.609537 91.5738 91.5738 106.122 5.20378 3.54586 0.5
M16.2 1 8 2021 138.275 0.550323 564.482 0.4 0.299118 0.537255 82.6879 82.6879 95.5807 5.18694 3.07066 0.5
M16.2 1 8 2022 123.817 0.42816 500.584 0.429571 0.271593 0.475913 65.5323 65.5323 74.8246 5.22929 3.00154 0.5
M16.2 1 8 2023 110.992 0.55956 472.177 0.465259 0.241802 0.422661 50.9109 50.9109 58.3093 4.93981 2.80055 0.5
M16.2 1 8 2024 103.16 0.547128 477.705 0.489163 0.223617 0.402428 48.8906 48.8906 56.106 4.63762 2.75618 0.5
M16.2 1 8 2025 105.456 0.596793 500.347 0.481979 0.228947 0.421552 51.3799 51.3799 58.9286 4.50615 2.7066 0.5
M16.2 1 8 2026 107.939 1.01675 525.036 0.474376 0.234711 0.440115 55.3658 55.3658 63.4728 4.35994 2.3852 0.5
M16.2 1 8 2027 111.879 1.46615 575.333 0.462671 0.24385 0.468322 61.6082 61.6082 70.5098 4.19856 2.15494 0.5
M16.2 1 8 2028 117.038 1.37775 687.337 0.44794 0.255833 0.503959 68.5575 68.5575 78.3756 3.79324 2.2384 0.5
M16.2 1 8 2029 128.196 1.26823 856.863 0.418284 0.281767 0.584283 91.8682 91.8682 104.796 3.44961 2.39874 0.5
M16.2 1 8 2030 156.084 0.375315 1020.08 0.4 0.299118 0.736941 128.053 128.053 148.5 3.54209 2.97956 0.5
M16.2 1 8 2031 192.576 0.283147 1070.53 0.4 0.299118 0.894518 150.577 150.577 174.568 3.90461 3.48483 0.5
M16.2 1 8 2032 215.91 0.543498 977.192 0.4 0.299118 0.963086 159.991 159.991 185.371 4.52553 3.41238 0.5
M16.2 1 9 2019 172.699 0.552085 671.538 0.571974 0.169251 0.636921 55 93.0461 107.887 5.25791 3.20085 0.5
M16.2 1 9 2020 156.347 0.830252 652.129 0.4 0.299118 0.610421 91.582 91.582 106.132 5.13248 2.77416 0.5
M16.2 1 9 2021 138.651 1.4638 622.385 0.4 0.299118 0.544791 83.0541 83.0541 96.2206 4.80761 2.25653 0.5
M16.2 1 9 2022 127.664 0.322617 674.085 0.419629 0.280534 0.516695 74.1645 74.1645 84.6486 4.27385 2.82328 0.5
M16.2 1 9 2023 128.395 0.279983 756.96 0.417773 0.282237 0.550871 83.4739 83.4739 95.3018 3.80771 3.29121 0.5
M16.2 1 9 2024 146.607 0.717228 765.297 0.4 0.299118 0.65533 117.13 117.13 135.834 4.20638 2.98208 0.5
M16.2 1 9 2025 164.599 0.442269 685.001 0.4 0.299118 0.704649 107.273 107.273 124.273 4.93652 3.06642 0.5
M16.2 1 9 2026 144.885 0.887043 604.498 0.4 0.299118 0.592136 85.0581 85.0581 98.5028 4.84226 2.61983 0.5
M16.2 1 9 2027 123.918 0.353273 590.634 0.429333 0.271804 0.505211 77.6239 77.6239 88.4102 4.54281 2.95202 0.5
M16.2 1 9 2028 122.627 0.649231 600.434 0.432727 0.268817 0.499628 71.3007 71.3007 81.3814 4.35042 2.81355 0.5
M16.2 1 9 2029 123.796 0.588341 600.245 0.429626 0.271545 0.515167 77.2271 77.2271 88.2436 4.41823 2.81056 0.5
M16.2 1 9 2030 127.087 1.70038 591.869 0.421104 0.279188 0.535629 76.381 76.381 87.0844 4.51375 2.12174 0.5
M16.2 1 9 2031 122.7 0.741502 651.273 0.43253 0.26899 0.515913 73.0759 73.0759 83.4168 4.17872 2.46885 0.5
M16.2 1 9 2032 124.53 0.297519 773.154 0.427712 0.273243 0.544286 78.5413 78.5413 89.6103 3.61553 3.03875 0.5
M16.2 1 10 2019 172.699 0.209143 671.538 0.571974 0.169251 0.636921 55 93.0461 107.887 5.27271 3.71669 0.5
M16.2 1 10 2020 156.315 0.402912 632.551 0.4 0.299118 0.608706 91.5662 91.5662 106.113 5.24213 3.47719 0.5
M16.2 1 10 2021 137.979 0.922069 545.325 0.4 0.299118 0.533262 82.3724 82.3724 95.0468 5.32982 2.60071 0.5
M16.2 1 10 2022 121.31 0.542154 502.601 0.436235 0.265765 0.460656 59.3947 59.3947 67.8482 5.17862 2.69407 0.5
M16.2 1 10 2023 106.529 0.288849 528.505 0.478665 0.231443 0.409918 47.755 47.755 54.7782 4.38392 3.08514 0.5
M16.2 1 10 2024 108.28 0.435774 563.628 0.473343 0.235505 0.446601 61.9622 61.9622 71.0505 4.23589 3.09642 0.5
M16.2 1 10 2025 123.425 0.981388 552.442 0.430605 0.270681 0.516398 75.2259 75.2259 85.9202 4.67399 2.47645 0.5
M16.2 1 10 2026 121.463 0.283599 535.468 0.435831 0.266115 0.496292 64.8729 64.8729 74.0747 4.75287 2.92028 0.5
M16.2 1 10 2027 110.4 0.187899 550.979 0.467034 0.240406 0.451391 57.0882 57.0882 65.2953 4.2515 3.38906 0.5
M16.2 1 10 2028 113.968 0.717528 551.622 0.456632 0.248696 0.476272 71.8951 71.8951 82.2148 4.38305 2.79262 0.5
M16.2 1 10 2029 124.469 0.722346 516.924 0.42787 0.273102 0.511713 72.0904 72.0904 82.2452 4.95702 2.56369 0.5
M16.2 1 10 2030 112.75 1.34545 502.291 0.460135 0.245874 0.448381 52.0734 52.0734 59.573 4.59674 2.17227 0.5
M16.2 1 10 2031 102.855 0.566266 589.551 0.490155 0.222889 0.426116 54.1165 54.1165 62.023 3.96262 2.58116 0.5
