S-r Parameters
Steepness Rzero Alpha Beta SigmaR Bzero Phi 
 0.801356  2.78108  0  0.378804  1701.02  1.3021 

Stock Run Source SSB Rec
BSAI_YFINSS YFS_test Data 293.496 2467.15
BSAI_YFINSS YFS_test Data 409.183 1574.56
BSAI_YFINSS YFS_test Data 526.225 3038.13
BSAI_YFINSS YFS_test Data 656.554 2258.42
BSAI_YFINSS YFS_test Data 776.716 6528.73
BSAI_YFINSS YFS_test Data 843.983 1209.19
BSAI_YFINSS YFS_test Data 945.256 5401.76
BSAI_YFINSS YFS_test Data 1024.84 1868.12
BSAI_YFINSS YFS_test Data 1071.79 1435.07
BSAI_YFINSS YFS_test Data 1058.17 1959.89
BSAI_YFINSS YFS_test Data 1051.2 2685
BSAI_YFINSS YFS_test Data 993.336 2682.95
BSAI_YFINSS YFS_test Data 965.759 1339.35
BSAI_YFINSS YFS_test Data 976.509 1503.37
BSAI_YFINSS YFS_test Data 1057.25 3331.54
BSAI_YFINSS YFS_test Data 1139.5 1988.83
BSAI_YFINSS YFS_test Data 1174.45 1679.79
BSAI_YFINSS YFS_test Data 1177.44 1692.19
BSAI_YFINSS YFS_test Data 1176.38 4175.32
BSAI_YFINSS YFS_test Data 1110.03 1805.51
BSAI_YFINSS YFS_test Data 1073.52 1499.92
BSAI_YFINSS YFS_test Data 1009.26 1839.24
BSAI_YFINSS YFS_test Data 1000.98 2606.42
BSAI_YFINSS YFS_test Data 987.701 1658.83
BSAI_YFINSS YFS_test Data 983.504 2284.2
BSAI_YFINSS YFS_test Data 981.707 2219.71
BSAI_YFINSS YFS_test Data 990.525 3523.92
BSAI_YFINSS YFS_test Data 1021.07 1533.48
BSAI_YFINSS YFS_test Data 1036.84 1844.78
BSAI_YFINSS YFS_test Data 1056.94 2349.6
BSAI_YFINSS YFS_test Data 1061.63 2112.73
BSAI_YFINSS YFS_test Data 1036.55 2434.22
BSAI_YFINSS YFS_test Data 1000.41 3272.3
BSAI_YFINSS YFS_test Fit 0 0
BSAI_YFINSS YFS_test Fit 85.0511 917.178
BSAI_YFINSS YFS_test Fit 170.102 1596.22
BSAI_YFINSS YFS_test Fit 255.153 2083.5
BSAI_YFINSS YFS_test Fit 340.204 2417.36
BSAI_YFINSS YFS_test Fit 425.255 2629.43
BSAI_YFINSS YFS_test Fit 510.306 2745.7
BSAI_YFINSS YFS_test Fit 595.357 2787.46
BSAI_YFINSS YFS_test Fit 680.408 2772.11
BSAI_YFINSS YFS_test Fit 765.459 2713.76
BSAI_YFINSS YFS_test Fit 850.511 2623.85
BSAI_YFINSS YFS_test Fit 935.562 2511.55
BSAI_YFINSS YFS_test Fit 1020.61 2384.18
BSAI_YFINSS YFS_test Fit 1105.66 2247.56
BSAI_YFINSS YFS_test Fit 1190.71 2106.23
BSAI_YFINSS YFS_test Fit 1275.77 1963.71
BSAI_YFINSS YFS_test Fit 1360.82 1822.7
BSAI_YFINSS YFS_test Fit 1445.87 1685.21
BSAI_YFINSS YFS_test Fit 1530.92 1552.7
BSAI_YFINSS YFS_test Fit 1615.97 1426.19
BSAI_YFINSS YFS_test Fit 1701.02 1306.36
BSAI_YFINSS YFS_test Fit 1786.07 1193.61
BSAI_YFINSS YFS_test Fit 1871.12 1088.12
BSAI_YFINSS YFS_test Fit 1956.17 989.899
BSAI_YFINSS YFS_test Fit 2041.23 898.843
BSAI_YFINSS YFS_test Fit 2126.28 814.745
BSAI_YFINSS YFS_test Fit 2211.33 737.335
BSAI_YFINSS YFS_test Fit 2296.38 666.292
BSAI_YFINSS YFS_test Fit 2381.43 601.269
BSAI_YFINSS YFS_test Fit 2466.48 541.899
BSAI_YFINSS YFS_test Fit 2551.53 487.81

