Stock Alt Year Catch ABC OFL SSB TotBiom
BSAI_YFINSS 1 2022 150 142.531 170.867 845.501 2659.68
BSAI_YFINSS 1 2023 133.271 133.271 159.793 823.83 2625.06
BSAI_YFINSS 1 2024 124.721 124.721 149.612 794.886 2701.63
BSAI_YFINSS 1 2025 122.275 122.275 146.761 778.264 2823.74
BSAI_YFINSS 1 2026 127.847 127.847 153.464 791.553 2969.04
BSAI_YFINSS 1 2027 136.396 136.396 163.669 818.656 3083.13
BSAI_YFINSS 1 2028 143.3 143.3 171.876 842.176 3222.29
BSAI_YFINSS 1 2029 149.29 149.29 179.022 857.009 3405.9
BSAI_YFINSS 1 2030 160.996 160.996 193.052 877.364 3633.03
BSAI_YFINSS 1 2031 183.829 183.829 220.375 926.348 3884.98
BSAI_YFINSS 1 2032 212.458 212.458 254.656 997.921 4104.72
BSAI_YFINSS 1 2033 239.183 239.183 286.702 1070.02 4275.62
BSAI_YFINSS 1 2034 261.454 261.454 313.419 1130.46 4399.14
BSAI_YFINSS 2 2022 150 142.531 170.867 845.501 2659.68
BSAI_YFINSS 2 2023 133.271 133.271 159.793 823.83 2625.06
BSAI_YFINSS 2 2024 124.721 124.721 149.612 794.886 2701.63
BSAI_YFINSS 2 2025 122.275 122.275 146.761 778.264 2823.74
BSAI_YFINSS 2 2026 127.847 127.847 153.464 791.553 2969.04
BSAI_YFINSS 2 2027 136.396 136.396 163.669 818.656 3083.13
BSAI_YFINSS 2 2028 143.3 143.3 171.876 842.176 3222.29
BSAI_YFINSS 2 2029 149.29 149.29 179.022 857.009 3405.9
BSAI_YFINSS 2 2030 160.996 160.996 193.052 877.364 3633.03
BSAI_YFINSS 2 2031 183.829 183.829 220.375 926.348 3884.98
BSAI_YFINSS 2 2032 212.458 212.458 254.656 997.921 4104.72
BSAI_YFINSS 2 2033 239.183 239.183 286.702 1070.02 4275.62
BSAI_YFINSS 2 2034 261.454 261.454 313.419 1130.46 4399.14
BSAI_YFINSS 3 2022 150 142.531 170.867 845.501 2659.68
BSAI_YFINSS 3 2023 79.0665 133.271 159.793 832.95 2625.06
BSAI_YFINSS 3 2024 79.1272 132.605 159.001 828.29 2755
BSAI_YFINSS 3 2025 81.1238 136.473 163.674 830.999 2918.49
BSAI_YFINSS 3 2026 84.7026 147.822 177.252 861.168 3098.32
BSAI_YFINSS 3 2027 88.5456 162.555 194.795 905.45 3245.67
BSAI_YFINSS 3 2028 91.7355 176.246 211.044 947.71 3419.35
BSAI_YFINSS 3 2029 95.1865 189.455 226.742 981.205 3638.62
BSAI_YFINSS 3 2030 100.691 209.066 250.139 1019.48 3901.42
BSAI_YFINSS 3 2031 108.513 239.843 287.048 1088.74 4193.5
BSAI_YFINSS 3 2032 118.084 276.184 330.758 1187.66 4466.56
BSAI_YFINSS 3 2033 127.565 309.362 370.773 1294.43 4704.04
BSAI_YFINSS 3 2034 137.12 339.808 407.472 1395.27 4905.08
BSAI_YFINSS 4 2022 150 142.531 170.867 845.501 2659.68
BSAI_YFINSS 4 2023 99.0754 133.271 159.793 829.604 2625.06
BSAI_YFINSS 4 2024 98.0789 129.667 155.503 815.608 2735.3
BSAI_YFINSS 4 2025 99.6272 130.832 156.957 809.976 2881.42
BSAI_YFINSS 4 2026 103.253 139.483 167.326 832.52 3045.37
BSAI_YFINSS 4 2027 107.258 151.44 181.577 869.581 3178.24
BSAI_YFINSS 4 2028 110.494 162.355 194.541 904.766 3338.75
BSAI_YFINSS 4 2029 114.105 172.835 207.013 931.801 3545.82
BSAI_YFINSS 4 2030 120.355 189.601 227.047 964.335 3797.23
BSAI_YFINSS 4 2031 129.541 218.084 261.151 1027.93 4077.8
BSAI_YFINSS 4 2032 140.875 252.968 302.988 1120.57 4338.43
BSAI_YFINSS 4 2033 152.076 285.739 342.459 1220.76 4563.39
BSAI_YFINSS 4 2034 163.299 315.748 378.592 1314.72 4751.66
BSAI_YFINSS 5 2022 150 142.531 170.867 845.501 2659.68
BSAI_YFINSS 5 2023 0 133.271 159.793 845.936 2625.06
BSAI_YFINSS 5 2024 0 144.533 173.193 879.013 2832.86
BSAI_YFINSS 5 2025 0 160.593 192.361 917.597 3069.07
BSAI_YFINSS 5 2026 0 185.162 221.622 982.496 3319.03
BSAI_YFINSS 5 2027 0 214.384 256.296 1061.23 3533.59
BSAI_YFINSS 5 2028 0 243.456 290.673 1138.55 3771.47
BSAI_YFINSS 5 2029 0 272.559 325.093 1205.63 4052.91
BSAI_YFINSS 5 2030 0 306.296 365.67 1275.28 4375.93
BSAI_YFINSS 5 2031 0 341.253 408.683 1376.21 4729.54
BSAI_YFINSS 5 2032 0 376.089 451.239 1509.84 5069.1
BSAI_YFINSS 5 2033 0 409.022 491.029 1652.53 5373.61
BSAI_YFINSS 5 2034 0 442.245 530.981 1790.84 5643.2
BSAI_YFINSS 6 2022 170.867 142.531 170.867 842.014 2659.68
